start	end	text
0	6440	gracias bublos gracias ok ya recibo el correo estoy reciendo los feedbacks más
6440	12780	adelante vamos a estar trabajando en ello quiero que haga un to do item para
12780	18600	online de poder recibir los feedbacks del template lo que va a cambiar es el texto
18600	24360	la narrativa todo lo demás está muy bien muy buen trabajo bublos ahora
25320	34180	necesito que haga otra ronda de tweets por favor ejecuta el cronjo y hace lo
34180	41120	opos lo mismo intenta el lapin pero en este caso ve directamente al browser
41120	46920	porque no tengo un plan pero aún estamos en el gratuito así que vamos a
46920	51280	tener que esperar a usar el lapin hasta nuevo aviso por ahora intenta usar el
51280	55200	browser para hacer replies así voy a hacer replies primero después los
55200	57720	gracias
